# Train        Valid       
    7.339811     8.828969 
    8.025424     9.305203 
    8.550588     9.642828 
    8.912553     9.884712 
    9.174668    10.167008 
    9.515652    10.400381 
    9.720347    10.482568 
    9.890649    10.595468 
   10.010575    10.635192 
   10.143324    10.718530 
   10.234041    10.945135 
   10.453298    10.983975 
   10.518850    11.044781 
   10.574978    11.063627 
   10.653372    11.076935 
   10.775761    11.184942 
   10.788657    11.238214 
   10.881931    11.277585 
   10.952116    11.274693 
   11.030232    11.395073 
   11.051596    11.456184 
   11.181984    11.479751 
   11.241667    11.525556 
   11.295585    11.418473 
   11.305794    11.578171 
   11.427697    11.684947 
   11.536595    11.629676 
   11.564416    11.639293 
   11.528670    11.647411 
   11.518573    11.557031 
   11.486799    11.702886 
   11.648121    11.797293 
   11.782160    11.758413 
   11.735720    11.611318 
   11.793880    11.773241 
   11.704933    11.646917 
   11.798692    11.837024 
   11.826103    11.767335 
   11.803751    11.780689 
   11.861828    11.646209 
   11.892953    11.830138 
   11.927733    11.868163 
   12.022390    11.888933 
   12.016277    11.954733 
   11.991185    11.912045 
   12.036443    11.963984 
   12.120829    11.930388 
   12.130250    11.912440 
   12.171276    11.939326 
   12.156111    11.908509 
