# Train        Valid       
    2.905822     2.887894 
    2.883764     2.871168 
    2.867333     2.861065 
    2.855673     2.854061 
    2.847716     2.844668 
    2.836967     2.837448 
    2.830499     2.834234 
    2.825036     2.830892 
    2.821791     2.829087 
    2.817405     2.826556 
    2.814396     2.819544 
    2.807794     2.819247 
    2.805406     2.817055 
    2.803769     2.816148 
    2.801293     2.816245 
    2.797364     2.810656 
    2.797026     2.811094 
    2.794023     2.809299 
    2.791985     2.809162 
    2.789456     2.805387 
    2.788560     2.804412 
    2.784925     2.803593 
    2.782972     2.802740 
    2.781166     2.805379 
    2.780515     2.798690 
    2.777102     2.796626 
    2.773480     2.798431 
    2.772786     2.798578 
    2.773877     2.799006 
    2.774115     2.800231 
    2.775209     2.795804 
    2.770169     2.792474 
    2.766143     2.793738 
    2.767401     2.797987 
    2.765546     2.794597 
    2.768233     2.798239 
    2.765454     2.791171 
    2.764501     2.794386 
    2.765312     2.792716 
    2.763694     2.798105 
    2.762413     2.791453 
    2.761493     2.790825 
    2.758274     2.790311 
    2.758557     2.788859 
    2.759197     2.789075 
    2.757782     2.788662 
    2.755393     2.788476 
    2.755019     2.789876 
    2.753715     2.789007 
    2.754345     2.789771 
